,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
0,today,grant,blue,jean,blue,origin,color,synthet,dye,develop,indigo,plant,respons,suppli,world,textil,industri,deep,rich,blue,color,indigo,plant,nativ,area,world,includ,southern,eastern,africa,tropic,america,asia,india,industri,truli,flourish,british,establish,commerci,cultiv,indigo,centuri,militari,hospit,uniform,work,class,garment,last,earli,centuri,synthet,altern,caus,industri,collaps,today,health,pollut,concern,result,increas,demand,natur,dye,indigo,industri,succeed,accord,passag,natur,indigo,industri,suppli,fabric,british,militari,uniform,current,depend,primarili,plant,africa,sole,provid,blue,color,jean,revit,health,issu,synthet,dye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,hear,bigfoot,hear,yeti,alma,yeren,name,differ,part,world,giant,like,specimen,seek,hope,studi,unknown,creatur,claim,exist,giant,like,creatur,inhabit,remot,mountain,region,provok,controversi,lack,scientif,accept,evid,long,histori,sight,hiker,pacif,northwest,bigfoot,type,creatur,footprint,tradit,nativ,american,tribe,featur,giant,ape,argu,like,central,african,mountain,gorilla,discov,studi,primatologist,matter,time,proof,bigfoot,silenc,skeptic,accord,passag,peopl,like,believ,yeti,yeren,primatologist,mountain,hiker,nativ,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,children,bother,indoor,allergi,difficult,diagnos,specif,allergen,caus,symptom,child,suffer,allergi,use,examin,place,home,child,spend,major,time,bedroom,ensur,protect,dust,mite,import,prioriti,remov,bed,wash,water,plastic,allergi,proof,cover,compon,seal,pest,stuff,anim,rug,prefer,avoid,toy,elimin,curtain,possibl,sure,clean,frequent,final,entir,room,clean,consid,high,effici,particul,filter,take,step,help,child,bedroom,allergen,free,accord,passag,child,suffer,indoor,dust,mite,allergi,encourag,play,stuff,anim,benefit,cotton,mattress,pillow,cover,diagnos,identifi,offend,allergen,requir,special,filter,room,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ruler,egypt,histori,cleopatra,famous,focus,numer,opera,hollywood,film,biographi,media,tell,stori,archaeologist,historian,credit,discov,materi,enabl,reconstruct,archeolog,find,includ,scrap,papyrus,date,believ,contain,cleopatra,handwrit,ancient,roman,coin,depict,silhouett,confirm,imag,roman,writer,portray,intellig,describ,allianc,power,greek,historian,plutarch,prais,compel,person,tomb,possibl,fill,mummi,death,mask,diari,tell,cleopatra,ala,tomb,remain,undiscov,accord,passag,current,avail,archeolog,evid,offer,portrait,cleopatra,appear,papyrus,scrap,death,mask,ancient,roman,money,histor,greek,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,polynesian,colonist,origin,southeast,asia,spread,rapid,south,pacif,island,polynesia,travel,cano,pack,tool,anim,plant,seed,need,initi,settlement,polynesian,crop,domest,asia,sweet,potato,believ,domest,central,america,sweet,potato,polynesia,uncertain,dispers,sweet,potato,europ,sixteenth,centuri,work,spanish,portugues,crop,polynesia,centuri,sweet,potato,current,grow,anim,fee,human,consumpt,part,world,accord,passag,sweet,potato,domest,europ,polynesia,southeast,asia,central,america,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,easter,island,thousand,mile,west,south,america,popul,hundr,year,polynesian,giant,statu,carv,volcan,rock,uncertain,island,inhabit,debat,statu,averag,feet,tall,ton,transport,ceremoni,sit,island,archaeologist,suspect,statu,lay,sled,haul,rope,think,place,small,log,roll,statu,repres,spirit,import,island,ancestor,styliz,natur,liken,actual,individu,see,european,statu,captur,imagin,encount,write,record,know,secret,accord,passag,know,easter,island,statu,repres,move,carv,typic,height,weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,anim,lover,rave,pet,inevit,debat,merit,cat,versus,dog,scienc,help,settl,argument,sled,dog,extrem,exampl,stamina,compet,alaskan,race,cover,mile,week,freez,temperatur,cat,tend,conserv,energi,quick,burst,speed,dog,cat,perceiv,scent,peopl,person,million,receptor,detect,scent,larg,million,million,dog,cat,sensit,sound,peopl,hear,person,abil,perceiv,sound,top,frequenc,hertz,dog,hear,hertz,cat,hertz,final,dog,larger,brain,teach,recogn,word,compar,cat,learn,word,accord,passag,comparison,dog,cat,greater,endur,higher,intellig,better,sens,hear,superior,sens,smell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,patent,electr,unit,state,award,turn,centuri,fourth,car,america,electr,power,car,time,luxuri,item,speed,electr,vehicl,satisfactori,short,distanc,onset,mass,produc,power,car,expans,road,drop,price,earli,decad,electr,car,longer,compet,product,halt,produc,nation,reduc,export,limit,avail,fuel,follow,renew,produc,altern,fuel,car,car,valu,economi,reduc,environment,impact,today,fuel,economi,regul,worldwid,progress,develop,cheaper,stronger,batteri,spark,greater,electr,car,base,passag,reason,electr,car,popular,turn,centuri,peopl,satisfi,drive,speed,advanc,batteri,technolog,peopl,concern,pollut,feder,regul,requir,fuel,economi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,accord,depart,state,shintoism,buddhism,japan,princip,religion,shintoism,found,myth,legend,eman,earli,animist,worship,natur,phenomena,shintoism,unconcern,problem,afterlif,domin,buddhist,think,buddhism,easili,accommod,shintoism,religion,comfort,coexist,buddhism,bring,japan,korea,centuri,today,japanes,adher,faith,marriag,celebr,hold,shinto,shrine,children,take,birth,certain,anniversari,numer,festiv,hold,year,shinto,shrine,funer,conduct,buddhist,priest,japanes,visit,famili,grave,buddhist,templ,respect,ancestor,buddha,birth,enlighten,pass,special,annual,event,accord,passag,unlik,shintoism,buddhism,japan,introduc,korea,main,associ,festiv,origin,domin,religion,base,animist,belief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,long,advent,commerci,ink,electr,tattoo,machin,peopl,adorn,bodi,tattoo,earliest,document,case,otzi,entomb,glacier,europ,year,sport,mark,sit,joint,suggest,tattoo,manag,chronic,pain,femal,egyptian,mummi,date,pattern,tattoo,creat,protect,pregnanc,childbirth,ancient,greek,roman,tattoo,design,belong,religi,sect,slave,crimin,tattoo,remain,year,femal,mummi,ruler,peru,histor,record,note,japanes,tattoo,decor,purpos,earli,clear,tattoo,ancient,widespread,craft,accord,passag,ancient,greec,rome,tattoo,ornament,bodi,reduc,persist,ach,safeguard,expect,mother,mark,member,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
