,0
0," TO9 A2000380 D 
A2090000 D
0000.	Today we may take for granted that blue jeans are indeed blue, but what are the origins of that color? Before synthetic dyes were developed, the indigo plant was responsible for supplying the world's textile industry with a deep, rich blue color. The indigo plant is native to several areas of the world, including southern and eastern Africa, tropical America, and Asia, but it was in India that the industry truly flourished. The British established commercial cultivation of indigo in the 18th century, using the dye for military and hospital uniforms, as well as for working class garments. This lasted until the early 20th century, when the use of synthetic alternatives caused the industry to collapse. Today, however, health and pollution concerns have resulted in an increasing demand for natural dyes, and we may see the indigo industry succeed again.

According to the passage, the natural indigo industry

A.	once supplied fabric for British military uniforms.
B.	currently depends primarily on plants from Africa.
C.	is now the sole provider of blue-colored dye for jeans.
D.	may be revitalized due to health issues with synthetic dyes.
"
1," TO9 A2000384 C
A2090001 C
0001.	You may have heard of Bigfoot, but have you heard of Yeti, Almas, or Yeren? These are names from different parts of the world for a giant ape-like specimen sought by cryptozoologists, who hope to find and study such unknown creatures. Claims about the existence of a giant ape-like creature that inhabits remote mountainous regions have provoked controversy, due to a lack of scientifically-accepted evidence. However, there is a long history of sightings from hikers in the Pacific Northwest of a Bigfoot type of creature or its footprints, and the traditions of many Native American tribes feature giant apes. Cryptozoologists argue that perhaps, like the Central African mountain gorilla that was discovered in 1903 and has been studied by primatologists, it's just a matter of time before proof of Bigfoot silences the skeptics.

According to the passage, the people most likely to believe in a Yeti or a Yeren are

A.	primatologists.
B.	mountain hikers.
C.	cryptozoologists.
D.	Native Americans.
"
2," TO9 A2000389 C
A2090002 A
0002.	Many children are bothered by indoor allergies, and it is often difficult to diagnose the specific allergen causing their symptoms. If your child suffers from allergies, then it is useful to examine the place in your home where your child spends a majority of time – the bedroom! To ensure a bed is protected from dust mites, the most important priority is to remove all bedding and wash it in hot water. Next, use plastic allergy-proof covers for all components of the bed to seal out pests. Keep stuffed animals off the rugs, and preferably avoid these toys all together. Eliminate curtains, or, if that's not possible, make sure to clean them frequently. Finally, to keep the air in the entire room clean, consider using a high efficiency particulate air filter. Taken together, these steps will help you keep your child's bedroom allergen-free.

According to the passage, a child who suffers from indoor dust mite allergies

A.	should not be encouraged to play with stuffed animals.
B.	will benefit from all-cotton mattress and pillow covers.
C.	must be diagnosed to identify the offending allergens.
D.	requires a special air filter in every room of the home.
"
3," TO9 A2000393 C
A2090003 C
0003.	Of all the rulers throughout Egypt's history, Cleopatra may be the most famous. She has been the focus of numerous operas, Hollywood films, and biographies. Although these media tell her story, archaeologists and historians are credited with discovering the materials that enable the reconstruction of who she was. Archeological findings include a scrap of papyrus dating from 33 BC and believed to contain Cleopatra's handwriting, and ancient Roman coins depicting her silhouette, the only confirmed images of her. Roman writers portrayed her as intelligent and described her alliances with two of the most powerful men of her day, and Greek historian Plutarch praised her compelling personality. Her tomb, possibly filled with her mummy, death mask, and diary, could tell us the most about who Cleopatra was. Alas, that tomb remains undiscovered.

According to the passage, what currently available archeological evidence offers a portrait of Cleopatra's appearance?

A.	papyrus scraps
B.	her death mask
C.	ancient Roman money
D.	historical Greek writings
"
4," TO9 A2000398 D
A2090003 D
0004.	Polynesian colonists, originally from Southeast Asia, spread rapidly throughout the South Pacific islands (Polynesia), traveling in canoes packed with all the tools, animals, and plant seeds they needed to initiate settlements. Most Polynesian crops were domesticated in Asia -- except for the sweet potato, which is believed to have been first domesticated in Central America. How the sweet potato got to Polynesia is still uncertain. The dispersal of the sweet potato to Europe in the sixteenth century was the work of Spanish and Portuguese, but the crop was in Polynesia centuries before then. Sweet potatoes are currently grown for animal feed as well as human consumption in many parts of the world.

According to the passage, where were sweet potatoes first domesticated?

A.	Europe
B.	Polynesia
C.	Southeast Asia
D.	Central America
"
5," TO9 A2000403 D
A2090005 D
0005.	Easter Island, thousands of miles west of South America, has been populated for hundreds of years by Polynesians and about 900 giant statues carved from volcanic rock. It is uncertain just when the island was first inhabited, and there is much debate about how the statues, averaging about 13 feet tall and 14 tons, were transported to ceremonial sites across the island. Some archaeologists suspect the statues were laid on sleds and hauled with ropes; others think they were placed on small logs and rolled. It may be that the statues represent the spirits of important islander ancestors, due to their stylized nature, rather than likenesses of actual individuals. First seen by Europeans in 1722, the statues have captured the imagination of all who encounter them. Since there are no written records, however, we may never know all their secrets.

According to the passage, what is known about the Easter Island statues?

A.	what they represent
B.	how they were moved
C.	when they were first carved
D.	their typical height and weight
"
6," TO9 A2000405 C
A2090006 C
0006.	Animal lovers raving about their pets inevitably debate the merits of cats versus dogs. Science can help settle the argument. Sled dogs, an extreme example of stamina, compete in an Alaskan race covering over 1,100 miles in about two weeks at below-freezing temperatures. Cats, however, tend to conserve their energy for quick bursts of speed. Both dogs and cats perceive scents that people cannot. A person has only about 5 million receptors to detect scent, while a large dog has up to 300 million and a cat up to 80 million. Dogs and cats are also sensitive to sounds that people cannot hear. A person's ability to perceive sound tops out at frequencies of about 23,000 hertz, while dogs can hear up to about 45,000 hertz and cats up to 64,000 hertz. Finally, dogs, with their larger brains, can be taught to recognize about 165 words, compared to cats, which can learn about 35 words.

According to the passage, in comparison to dogs, cats have

A.	greater endurance.
B.	higher intelligence.
C.	a better sense of hearing.
D.	a superior sense of smell.
"
7," TO9 A2000406 D
A2090007 A
0007.	In 1891 a patent for the first electric car in the United States was awarded. By the turn of the 20th century, about a fourth of all cars made in America were electric-powered. Cars at that time were luxury items, and low-speed electric vehicles were satisfactory for short distances. However, with the onset of mass-produced gas-powered cars, the expansion of roads, and the drop in gas prices in the early decades of the 1900s, electric cars could no longer compete; and in the 1930s production of them was halted. When in 1973 some oil-producing nations reduced exports, limiting available fuel, there followed a renewed interest in producing alternative-fueled cars. Such cars were valued both for their economy and their reduced environmental impact. Today, fuel-economy regulations in the U.S. and worldwide as well as progress in the development of cheaper, stronger batteries have sparked an even greater interest in all-electric cars.

Based on the passage, one reason electric cars were popular in the U.S. at the turn of the 20th century was because

A.	people were satisfied to drive at low speeds.
B.	advances were made in battery technology.
C.	people were concerned about air pollution.
D.	federal regulations required fuel economy.
"
8," TO9 A2000407 A
A2090008 A
0008.	According to the U.S. Department of State, Shintoism and Buddhism are Japan's two principal religions. Shintoism was founded on myths and legends emanating from the early animistic worship of natural phenomena. Since Shintoism was unconcerned with problems of afterlife that dominate Buddhist thought, and since Buddhism easily accommodated itself to Shintoism, the two religions have comfortably coexisted ever since Buddhism was brought to Japan by Korea in the 6th century. Today, many Japanese are adherents of both faiths. Many marriages and celebrations are held in Shinto shrines, and children are taken there after birth and on certain anniversaries. Numerous festivals are held throughout the year in Shinto shrines. Most funerals are conducted by Buddhist priests, and many Japanese visit family graves and Buddhist temples to pay respects to ancestors. The Buddha's birth, enlightenment, and passing are special annual events.

According to the passage, unlike Shintoism, Buddhism in Japan

A.	was introduced from Korea.
B.	is mainly associated with festivals.
C.	was originally the dominant religion.
D.	is based on a system of animistic beliefs.
"
9," TO9 A2000412 D
A2090009 D
0009.	Long before the advent of commercial inks and electric tattooing machines, people have been adorning their bodies with tattoos. The earliest documented case is Otzi, entombed in a glacier in Europe some 5,200 years ago, who sported markings at the sites of various joints, suggesting that the tattoos may have been used to manage chronic pain. Several female Egyptian mummies dating to about 2,000 BC had a pattern of tattoos that may have been created for protection during pregnancy or childbirth. Among the ancient Greeks and Romans, tattoos were used to designate those belonging to religious sects, as well as slaves and criminals. The tattooed remains of a 1,600-year-old female mummy, perhaps a ruler, have been found in Peru; and historic records note that Japanese men were using tattoos for decorative purposes as early as 297 AD. Clearly, tattooing is an ancient and widespread craft.

According to the passage, in ancient Greece and Rome tattoos were used to

A.	ornament men's bodies.
B.	reduce persistent aches.
C.	safeguard expectant mothers.
D.	mark members of various groups.
"
